iter	Passed	Remaining
415	2800	3931
416	2807	3925
417	2814	3918
418	2821	3912
419	2828	3906
420	2835	3899
421	2842	3892
422	2849	3886
423	2855	3879
424	2862	3872
425	2868	3865
426	2874	3857
427	2881	3850
428	2887	3843
429	2894	3837
430	2901	3830
431	2909	3825
432	2916	3818
433	2923	3812
434	2930	3806
435	2938	3800
436	2945	3794
437	2952	3788
438	2959	3781
439	2966	3775
440	2972	3768
441	2980	3762
442	2986	3755
443	2993	3748
444	3000	3742
445	3007	3735
446	3013	3727
447	3019	3720
448	3026	3714
449	3033	3708
450	3040	3700
451	3045	3692
452	3051	3685
453	3058	3677
454	3064	3670
455	3070	3662
456	3076	3655
457	3083	3648
458	3089	3641
459	3095	3634
460	3102	3627
461	3109	3620
462	3116	3614
463	3122	3606
464	3129	3600
465	3135	3593
466	3142	3586
467	3148	3579
468	3155	3572
469	3161	3565
470	3168	3558
471	3174	3551
472	3181	3544
473	3187	3536
474	3193	3529
475	3199	3522
476	3206	3516
477	3213	3509
478	3219	3502
479	3226	3494
480	3232	3487
481	3238	3480
482	3245	3473
483	3251	3466
484	3257	3459
485	3264	3452
486	3270	3445
487	3276	3437
488	3282	3430
489	3288	3423
490	3295	3416
491	3302	3409
492	3309	3403
493	3315	3396
494	3322	3389
495	3328	3382
496	3334	3375
497	3340	3367
498	3347	3361
499	3353	3353
500	3360	3346
501	3366	3339
502	3372	3332
503	3378	3324
504	3384	3317
505	3391	3311
506	3398	3304
507	3405	3298
508	3412	3291
509	3418	3284
510	3425	3278
511	3432	3271
512	3437	3263
513	3443	3256
514	3449	3249
515	3456	3242
516	3462	3234
517	3468	3227
518	3475	3220
519	3481	3213
520	3487	3206
521	3493	3198
522	3499	3191
523	3505	3184
524	3511	3177
525	3518	3170
526	3525	3164
527	3531	3156
528	3537	3149
529	3543	3142
530	3550	3136
531	3557	3129
532	3563	3122
533	3569	3115
534	3575	3108
535	3582	3101
536	3588	3094
537	3595	3087
538	3601	3080
539	3608	3073
540	3614	3066
541	3620	3059
542	3627	3052
543	3633	3045
544	3640	3038
545	3646	3031
546	3652	3024
547	3658	3017
548	3664	3010
549	3671	3003
550	3677	2996
551	3683	2989
552	3689	2982
553	3695	2975
554	3702	2968
555	3708	2961
556	3715	2954
557	3721	2947
558	3727	2940
559	3733	2933
560	3739	2926
561	3746	2919
562	3752	2912
563	3758	2905
564	3765	2898
565	3770	2891
566	3777	2884
567	3783	2877
568	3789	2870
569	3795	2863
570	3802	2856
571	3808	2849
572	3814	2842
573	3820	2835
574	3827	2828
575	3833	2821
576	3839	2814
577	3846	2808
578	3852	2801
579	3859	2794
580	3865	2787
581	3872	2781
582	3878	2774
583	3884	2767
584	3891	2760
585	3896	2752
586	3903	2746
587	3909	2739
588	3916	2732
589	3923	2726
590	3929	2719
591	3936	2713
592	3943	2706
593	3949	2699
594	3955	2692
595	3961	2685
596	3967	2678
597	3974	2671
598	3980	2664
599	3987	2658
600	3993	2651
601	3999	2644
602	4005	2637
603	4011	2630
604	4017	2623
605	4024	2616
606	4031	2610
607	4037	2603
608	4044	2596
609	4050	2589
610	4056	2582
611	4063	2575
612	4069	2568
613	4075	2562
614	4082	2555
615	4088	2548
616	4095	2542
617	4101	2535
618	4108	2528
619	4114	2521
620	4122	2516
621	4129	2509
