iter	Logloss
0	0.6598728779
1	0.6286670447
2	0.5988537957
3	0.5711101308
4	0.5448513746
5	0.5196670502
6	0.496338241
7	0.4751132057
8	0.4551950866
9	0.4361974847
10	0.4180149065
11	0.4013082851
12	0.3848425497
13	0.3697097787
14	0.3550345692
15	0.3411399128
16	0.3284343581
17	0.3169248913
18	0.3064465381
19	0.2963728873
20	0.2869934054
21	0.2769266039
22	0.2691071102
23	0.2611038501
24	0.2538563547
25	0.2472673971
26	0.2409509217
27	0.2347470972
28	0.2288021994
29	0.223441522
30	0.2183471764
31	0.2137167941
32	0.2094026333
33	0.2051294757
34	0.2009492466
35	0.1969790319
36	0.1931059969
37	0.1894807177
38	0.1859012425
39	0.1829590084
40	0.1800498723
41	0.1772907329
42	0.1746885715
43	0.1719995024
44	0.1693253193
45	0.1671336084
46	0.1649703021
47	0.1622651507
48	0.1605415961
49	0.1585210788
50	0.156942612
51	0.1551365904
52	0.1535628554
53	0.1520176117
54	0.150560769
55	0.1493522705
56	0.1479729103
57	0.1465681691
58	0.1426777932
59	0.1417260811
60	0.1405796319
61	0.13950826
62	0.1387218521
63	0.1378269806
64	0.1367317538
65	0.1358927936
66	0.1350198619
67	0.1343376679
68	0.1335339962
69	0.1327812313
70	0.1320132429
71	0.1314597544
72	0.1292200707
73	0.1285239601
74	0.1280286076
75	0.1256525355
76	0.1250953122
77	0.1244615472
78	0.1240742031
79	0.1235899417
80	0.1231972705
81	0.1228343237
82	0.1213254451
83	0.120962495
84	0.1204834021
85	0.1201511433
86	0.1195560317
87	0.1191745436
88	0.1188622294
89	0.1185131298
90	0.118198822
91	0.1179768442
92	0.1177270196
93	0.1174555979
94	0.1172050751
95	0.1170017358
96	0.1166967901
97	0.1165281332
98	0.1163318047
99	0.1160837403
100	0.1147930294
101	0.1144638838
102	0.1133259793
103	0.1132017647
104	0.1125959628
105	0.1124888368
106	0.1122878319
107	0.1120423225
108	0.111713588
109	0.1115605284
110	0.1114545523
111	0.1113365384
112	0.1112464151
113	0.1108934587
114	0.1107517424
115	0.1104716273
116	0.1103431892
117	0.1096093292
118	0.109430876
119	0.1093658721
120	0.109285612
121	0.1087863086
122	0.1086715204
123	0.1085435589
124	0.1084555659
125	0.1083984855
126	0.1083086802
127	0.1077060083
128	0.1076573267
129	0.1074482186
130	0.107349483
131	0.1072439704
132	0.1071354455
133	0.1070658905
134	0.1069669608
135	0.1068858759
136	0.1067820544
137	0.1066760274
138	0.1064994929
139	0.1062743171
140	0.1055831142
141	0.1055155312
142	0.1053299985
143	0.1052817678
144	0.1046561299
145	0.1045878751
146	0.1045058294
147	0.1044510937
148	0.1043709252
149	0.1040028492
150	0.1039045748
151	0.1038572888
152	0.1037833494
153	0.1036946753
154	0.1036055752
155	0.1032527243
156	0.1031913302
157	0.1030525697
158	0.1029785741
159	0.1028977272
160	0.1028460397
161	0.1027887748
162	0.1027142947
163	0.1026531776
164	0.1026236229
165	0.1025838241
166	0.1025163551
167	0.1024655281
168	0.1023886055
169	0.1023560072
170	0.1023196083
171	0.1022764968
172	0.1022050835
173	0.1021541045
174	0.1021015102
175	0.1020457046
176	0.1019736032
177	0.1018663538
178	0.1018035159
179	0.101766772
180	0.1017399511
181	0.1016736178
182	0.1015196364
183	0.1014397959
184	0.1014070432
185	0.1013459083
186	0.1012246241
187	0.101186907
188	0.1010953523
189	0.1005872817
190	0.1005533619
191	0.1005170161
192	0.1004649651
193	0.1004319831
194	0.1003863834
195	0.1003213862
196	0.100290858
197	0.1002120496
198	0.1001779483
199	0.1000279896
200	0.09998147877
201	0.09993313026
202	0.09988987806
203	0.09985440342
204	0.09907580262
205	0.09880959317
206	0.09877790991
207	0.09870547651
208	0.09865630566
209	0.09862549092
210	0.09859741466
211	0.09847532336
212	0.09809374932
213	0.097665413
214	0.09761566271
215	0.09753753127
216	0.09728824667
217	0.09726349179
218	0.09723116519
219	0.09711473163
220	0.09686992833
221	0.09681846012
222	0.09675953915
223	0.09667307964
224	0.09664337311
225	0.09660846752
226	0.09655272234
227	0.09651173041
228	0.09643277518
229	0.09639863291
230	0.09634090132
231	0.09629724283
232	0.09625791267
233	0.09589997486
234	0.09586232771
235	0.09575013419
236	0.0957231929
237	0.0956586842
238	0.09563639399
239	0.0956013576
240	0.09554752558
241	0.09551842128
242	0.09546916179
243	0.09539940813
244	0.09537362044
245	0.09533426436
246	0.09528844287
247	0.09526691388
248	0.09522758274
249	0.09518632645
250	0.09514980403
251	0.09512767546
252	0.09509967255
253	0.09507725023
254	0.09502923952
255	0.0949897974
256	0.09495854584
257	0.09487561039
258	0.09479844586
259	0.09449925017
260	0.09446417602
261	0.09441597637
262	0.09438807715
263	0.094371043
264	0.0943285572
265	0.0942448548
266	0.0941471977
267	0.09408317699
268	0.09405907799
269	0.09400815529
270	0.09398188913
271	0.09392968984
272	0.09390120162
273	0.09387287064
274	0.09384500493
275	0.09381093337
276	0.0937738129
277	0.09374113157
278	0.09367582741
279	0.09363135899
280	0.09360577168
281	0.09358007541
282	0.09355237703
283	0.09350904051
284	0.09349490821
285	0.09292060457
286	0.0929001164
287	0.09286683017
288	0.09281598624
289	0.09278014379
290	0.09274658285
291	0.09272891644
292	0.09269800716
293	0.09267873643
294	0.09252209773
295	0.09249036447
296	0.0924218399
297	0.09240689638
298	0.092381387
299	0.09236669667
300	0.09211536804
301	0.09208354838
302	0.09196686674
303	0.09192651418
304	0.09190776402
305	0.0918802938
306	0.09184828946
307	0.09183372743
308	0.09180648693
309	0.09178288047
310	0.09176925403
311	0.09175506661
312	0.09174164652
313	0.09172459717
314	0.09171078323
315	0.09169299402
316	0.09152969765
317	0.0914578406
318	0.09144122788
319	0.09140266362
320	0.09138749593
321	0.0913591513
322	0.09132754208
323	0.09129409943
324	0.09102833623
325	0.091016074
326	0.09098780158
327	0.09096490694
